"HOUSEHOLD DATA
 ANNUAL AVERAGES
 39. Median weekly earnings of full-time wage and salary workers by detailed occupation and sex",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
[Numbers in thousands],,,,,,
,,,,,,
Occupation,2025,,,,,
,Total,,Men,,Women,
,Number of workers,Median weekly earnings,Number of workers,Median weekly earnings,Number of workers,Median weekly earnings
,,,,,,
"Total, full-time wage and salary workers",121470,1204,66979,1326,54491,1089
,,,,,,
"Management, professional, and related occupations",56533,1645,27199,1903,29334,1443
"Management, business, and financial operations occupations",24047,1760,12654,1917,11393,1561
Management occupations,15585,1847,8732,2000,6853,1602
Chief executives,1245,2908,791,3098,453,2325
General and operations managers,1256,1739,826,1846,430,1558
Legislators,11,–,8,–,4,–
Advertising and promotions managers,54,1655,30,–,24,–
Marketing managers,572,1890,241,2285,331,1749
Sales managers,548,1997,371,2085,176,1907
Public relations and fundraising managers,130,1741,31,–,100,1495
Administrative services managers,110,1450,34,–,75,1406
Facilities managers,133,1538,110,1548,23,–
Computer and information systems managers,636,2599,467,2691,169,2305
Financial managers,1373,1877,632,2023,741,1665
Compensation and benefits managers,19,–,5,–,14,–
Human resources managers,284,1833,57,2288,227,1742
Training and development managers,50,1411,25,–,25,–
Industrial production managers,291,1905,234,1910,57,1890
Purchasing managers,221,1752,109,1869,113,1662
"Transportation, storage, and distribution managers",377,1340,312,1292,65,1508
"Farmers, ranchers, and other agricultural managers",97,1045,73,1009,24,–
Construction managers,727,1879,665,1893,62,1383
Education and childcare administrators,960,1769,351,1924,609,1619
Architectural and engineering managers,198,2906,188,2907,9,–
Food service managers,687,1032,322,1250,365,910
Funeral home managers,4,–,2,–,2,–
Entertainment and recreation managers,47,–,26,–,22,–
Lodging managers,78,1270,41,–,37,–
Medical and health services managers,785,1595,179,1992,606,1539
Natural sciences managers,39,–,21,–,17,–
Postmasters and mail superintendents,30,–,15,–,15,–
"Property, real estate, and community association managers",434,1384,192,1537,242,1212
Social and community service managers,393,1473,111,1663,282,1396
Emergency management directors,27,–,13,–,14,–
"Personal service managers, all other",56,1014,25,–,31,–
"Managers, all other",3711,1905,2223,2089,1488,1702
Business and financial operations occupations,8463,1652,3922,1828,4540,1507
"Agents and business managers of artists, performers, and athletes",29,–,10,–,19,–
"Buyers and purchasing agents, farm products",5,–,3,–,2,–
"Wholesale and retail buyers, except farm products",130,1101,66,1316,64,981
"Purchasing agents, except wholesale, retail, and farm products",263,1401,129,1380,134,1440
"Claims adjusters, appraisers, examiners, and investigators",363,1325,143,1476,220,1223
Compliance officers,275,1518,130,1551,145,1495
Cost estimators,130,1767,108,1879,22,–
Human resources workers,782,1488,166,1763,616,1425
"Compensation, benefits, and job analysis specialists",51,1336,25,–,26,–
Training and development specialists,181,1426,74,1406,108,1459
Logisticians,183,1307,122,1404,60,1190
Project management specialists,1082,2016,609,2099,472,1977
Management analysts,694,1847,419,1918,275,1689
"Meeting, convention, and event planners",125,1394,39,–,87,1371
Fundraisers,68,1622,17,–,51,1764
Market research analysts and marketing specialists,435,1755,145,1978,290,1690
"Business operations specialists, all other",500,1471,188,1603,313,1257
Accountants and auditors,1454,1731,603,1941,851,1576
Property appraisers and assessors,45,–,26,–,19,–
Budget analysts,70,1768,29,–,41,–
Credit analysts,36,–,19,–,18,–
Financial and investment analysts,386,1910,228,2093,158,1780
Personal financial advisors,444,1897,291,2122,153,1451
Insurance underwriters,139,1738,52,1885,87,1485
Financial examiners,19,–,9,–,10,–
Credit counselors and loan officers,349,1405,172,1750,177,1108
"Tax examiners and collectors, and revenue agents",48,–,23,–,25,–
Tax preparers,68,1312,25,–,43,–
Other financial specialists,109,1497,52,1536,57,1493
Professional and related occupations,32485,1567,14545,1890,17940,1380
Computer and mathematical occupations,6297,2015,4590,2138,1706,1828
Computer and information research scientists,33,–,28,–,5,–
Computer systems analysts,557,1843,305,1947,253,1658
Information security analysts,251,2287,218,2255,33,–
Computer programmers,352,2043,285,2131,67,1406
Software developers,2133,2506,1695,2523,438,2383
Software quality assurance analysts and testers,64,1670,32,–,32,–
Web developers,35,–,24,–,12,–
Web and digital interface designers,45,–,22,–,22,–
